OBJECTID,CSA2010,dirtyst10,dirtyst11,dirtyst12,dirtyst13,dirtyst14,dirtyst15,dirtyst16,dirtyst17,dirtyst18,dirtyst19,CSA2020,dirtyst20,Shape__Area,Shape__Length
43,Patterson Park North & East,392.3293697,191.90322358925,187.36682933535,126.812839370403,162.485394185167,202.831809746374,206.955804522648,216.028593030449,139.872156161936,200.3574129,Patterson Park North & East,176.95530726257,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,84.19528341,91.8494000827472,127.534133223004,94.6421183285064,68.2664460074473,78.1961108812578,56.6818369880017,83.2643773272652,105.812991311543,116.3632602,Penn North/Reservoir Hill,96.3825569871159,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,79.04536222,73.4597156398104,70.83615436696,45.8700067704807,38.5071090047393,49.3398781313473,38.6763710223426,51.9634394041977,34.529451591063,68.2972241,Pimlico/Arlington/Hilltop,55.0341296928328,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,57.01926858,104.600865119937,121.903263861581,101.651592607157,86.7086118757373,134.486826582776,85.5289028706252,68.6197404640189,48.957923712151,86.70861188,Poppleton/The Terraces/Hollins Market,92.2165820642978,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,157.6933405,152.65843179377,205.491407089151,128.826530612245,111.237916219119,110.029538131042,89.21858216971,120.972073039742,84.9892588614393,130.9076262,Sandtown-Winchester/Harlem Park,135.31478492071,23672092.8682861,20987.1433066354
48,South Baltimore,15.8401584,19.530195301953,28.2547611614112,34.1866999687793,32.0012488292226,36.9965657196378,25.913206369029,29.503590384015,18.7324383390571,30.128005,South Baltimore,12.9142300194932,46353935.4255981,68440.02582664
49,Southeastern,27.95527157,25.2396166134185,30.9904153354633,24.9201277955272,29.073482428115,25.7188498402556,30.0319488817891,38.8178913738019,31.9488817891374,56.38977636,Southeastern,46.8103957471943,111251478.472229,102291.480547698
50,Southern Park Heights,77.91327913,84.838903944595,108.852755194219,67.3742848539597,54.2758205359831,59.545317675399,41.8548629930744,63.0081300813008,48.4040951520626,66.47094249,Southern Park Heights,63.8836772983114,27876227.5908203,24052.221372193
51,Southwest Baltimore,253.5644395,195.471065138384,217.948001118255,152.753704221415,134.078837014258,187.140061504054,185.071288789488,248.53228962818,133.967011462119,182.1079117,Southwest Baltimore,228.068845249829,37766068.8365479,28355.563581391
52,The Waverlies,84.22546111,80.7429382174642,87.3210370179285,49.6581968270347,59.7188185218625,68.2316522636399,54.0435960273443,75.8416096994712,44.1119566619373,87.06307236,The Waverlies,59.1773922775602,20383750.5437012,18733.826879757
53,Upton/Druid Heights,52.07635633,58.8580040187542,76.7743183136724,70.6826532585573,73.0032875652678,76.9677045058983,55.0183716882615,64.6876812995552,43.8986656352736,83.54283504,Upton/Druid Heights,79.7442799461642,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,193.1673633,206.432854806469,225.513356351081,183.536252952935,180.265309831001,176.812647646738,157.913865164456,208.795202616754,146.829002362348,219.8800654,Pigtown/Carroll Park,132.780882636346,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,67.284731,73.8867818513836,59.4184576485461,47.6190476190476,46.6357634499227,53.378283466779,43.826380109566,77.1175726927939,52.6759376316898,74.58912769,Westport/Mount Winans/Lakeland,64.2867301948514,45494092.9501953,42573.1244161851
